learner,true_pL0,fit_pL0,true_pT,fit_pT,correct_rate
0,0.1509,0.0250,0.0676,0.0800,0.7250
1,0.1271,0.0250,0.2243,0.1500,0.8000
2,0.0550,0.0250,0.1796,0.1100,0.6500
3,0.2984,0.4750,0.2070,0.2900,0.9250
4,0.3809,0.0250,0.1083,0.1200,0.7000
5,0.3634,0.0250,0.0976,0.2100,0.8500
6,0.3286,0.0250,0.0622,0.1900,0.8000
7,0.1921,0.0250,0.1443,0.0500,0.5000
8,0.1704,0.0250,0.1137,0.2900,0.8750
9,0.4404,0.0250,0.1932,0.2900,0.8750
10,0.2074,0.4750,0.1502,0.2900,0.8250
11,0.2699,0.0250,0.1730,0.2900,0.9000
12,0.2773,0.0250,0.1503,0.1200,0.7500
13,0.2324,0.0250,0.2391,0.2500,0.8000
14,0.4189,0.0250,0.1708,0.2500,0.8250
15,0.1869,0.0250,0.1302,0.2900,0.8500
16,0.4489,0.0250,0.1087,0.2900,0.8250
17,0.3454,0.4750,0.2426,0.2900,0.8750
18,0.2319,0.0250,0.1362,0.2900,0.9000
19,0.2115,0.0250,0.1046,0.2900,0.8500
20,0.2973,0.0250,0.1766,0.0800,0.6750
21,0.1056,0.4750,0.2455,0.2900,0.9000
22,0.3919,0.0250,0.0862,0.0500,0.4500
23,0.3564,0.4750,0.1183,0.2900,0.9500
24,0.3251,0.0250,0.1315,0.2900,0.8750
25,0.1271,0.0250,0.1902,0.1700,0.8250
26,0.3432,0.0250,0.2401,0.2900,0.7750
27,0.2640,0.0250,0.2288,0.2900,0.8750
28,0.1841,0.0250,0.1749,0.2900,0.9000
29,0.3427,0.0250,0.1376,0.0400,0.5000
30,0.3507,0.0250,0.2131,0.2900,0.8750
31,0.4370,0.4750,0.0648,0.2900,0.9750
32,0.1975,0.0250,0.1548,0.1800,0.7250
33,0.4384,0.0250,0.1652,0.2900,0.8000
34,0.2138,0.0250,0.2403,0.2900,0.8500
35,0.3006,0.4750,0.1539,0.2900,0.9750
36,0.3570,0.0250,0.0719,0.0400,0.6250
37,0.2311,0.4750,0.1265,0.2900,0.8500
38,0.2720,0.0250,0.2228,0.1700,0.8250
39,0.2702,0.0250,0.1939,0.2500,0.8000
40,0.1117,0.0250,0.1079,0.1000,0.7000
41,0.2883,0.4750,0.1304,0.2900,0.8500
42,0.2055,0.0250,0.2050,0.2900,0.8250
43,0.1996,0.0250,0.1597,0.2500,0.8500
44,0.0647,0.0250,0.0592,0.0200,0.2500
45,0.4238,0.4750,0.1224,0.2900,0.8250
46,0.2921,0.0250,0.1221,0.2900,0.8750
47,0.0779,0.0250,0.2151,0.2900,0.8750
48,0.3993,0.0250,0.0718,0.0400,0.5000
49,0.2384,0.0250,0.1340,0.0700,0.5500
50,0.4486,0.0250,0.0896,0.0500,0.5250
51,0.2980,0.0250,0.1019,0.1900,0.8000
52,0.2762,0.0250,0.1610,0.2900,0.8750
53,0.1831,0.4750,0.1543,0.2900,0.9250
54,0.3859,0.4750,0.1897,0.2900,0.9750
55,0.2674,0.4750,0.2267,0.2900,0.8250
56,0.0614,0.0250,0.0868,0.0200,0.3000
57,0.1030,0.0250,0.1014,0.2900,0.9000
58,0.3914,0.4750,0.0771,0.2900,0.9250
59,0.1320,0.0250,0.0902,0.2000,0.8000
60,0.0611,0.0250,0.2214,0.2900,0.8750
61,0.0884,0.0250,0.1686,0.2000,0.8000
62,0.0947,0.0250,0.0650,0.0300,0.3000
63,0.1651,0.0250,0.1660,0.1700,0.8250
64,0.2831,0.4750,0.1519,0.2900,0.9500
65,0.0722,0.0250,0.1702,0.2900,0.7250
66,0.3610,0.4750,0.0876,0.2900,0.8750
67,0.2598,0.0250,0.2246,0.1700,0.7750
68,0.0533,0.0250,0.2482,0.2900,0.9000
69,0.0791,0.0250,0.1710,0.0800,0.7500
70,0.4215,0.0250,0.2311,0.2400,0.8000
71,0.3799,0.0250,0.1640,0.2900,0.8750
72,0.1483,0.0250,0.1255,0.2900,0.8750
73,0.4248,0.4750,0.0570,0.2900,0.9000
74,0.3292,0.0250,0.2454,0.2100,0.8500
75,0.3885,0.4750,0.0637,0.2900,0.9500
76,0.1005,0.0250,0.1862,0.2900,0.8250
77,0.2187,0.0250,0.1318,0.0800,0.6250
78,0.2456,0.0250,0.2140,0.2900,0.8250
79,0.3807,0.0250,0.2313,0.2000,0.8250
80,0.2816,0.0250,0.0669,0.2900,0.8000
81,0.1288,0.0250,0.1547,0.1400,0.7500
82,0.2181,0.4750,0.1326,0.2900,0.8750
83,0.2782,0.4750,0.2046,0.2900,0.9250
84,0.4042,0.0250,0.1372,0.0500,0.6250
85,0.1010,0.0250,0.1223,0.1200,0.8250
86,0.0713,0.0250,0.2375,0.2900,0.8000
87,0.4177,0.0250,0.1000,0.0600,0.6500
88,0.3684,0.0250,0.1527,0.1700,0.7750
89,0.2292,0.0250,0.1930,0.2900,0.7750
90,0.1069,0.0250,0.2124,0.2900,0.9000
91,0.4393,0.0250,0.1721,0.2900,0.9000
92,0.0662,0.0250,0.2278,0.2000,0.9000
93,0.2243,0.0250,0.1817,0.1300,0.8000
94,0.2079,0.0250,0.1618,0.0900,0.6250
95,0.1265,0.0250,0.2499,0.2900,0.8500
96,0.3292,0.0250,0.0592,0.0400,0.5000
97,0.1524,0.0250,0.1967,0.2900,0.8500
98,0.2779,0.4750,0.1867,0.2900,0.9000
99,0.4305,0.4750,0.0540,0.2900,0.8750
100,0.1328,0.0250,0.1503,0.0900,0.7250
101,0.2422,0.0250,0.1406,0.2900,0.8750
102,0.2154,0.0250,0.1445,0.1100,0.7750
103,0.2563,0.0250,0.0556,0.0600,0.5000
104,0.1859,0.0250,0.2102,0.2500,0.8750
105,0.2479,0.4750,0.1804,0.2900,0.9500
106,0.0902,0.0250,0.2464,0.2000,0.7500
107,0.2763,0.4750,0.2208,0.2900,0.9250
108,0.1696,0.0250,0.1269,0.2900,0.9000
109,0.4139,0.0250,0.0903,0.1000,0.7500
110,0.2088,0.4750,0.1251,0.2900,0.9000
111,0.4384,0.4750,0.2378,0.2900,0.8500
112,0.1696,0.0250,0.2100,0.1700,0.8000
113,0.2759,0.0250,0.2217,0.2900,0.8500
114,0.3882,0.0250,0.0971,0.1700,0.7500
115,0.1193,0.4750,0.2380,0.2900,0.8250
116,0.4003,0.0250,0.2044,0.0600,0.5500
117,0.0754,0.0250,0.0625,0.2900,0.9250
118,0.2794,0.0250,0.0799,0.0700,0.6250
119,0.2002,0.4750,0.0961,0.2900,0.9250
120,0.1689,0.0250,0.0896,0.0800,0.6250
121,0.2926,0.0250,0.1607,0.2900,0.8500
122,0.1790,0.0250,0.2010,0.0500,0.4750
123,0.3102,0.0250,0.1567,0.2500,0.8500
124,0.2790,0.0250,0.1238,0.0700,0.7250
125,0.2770,0.0250,0.1901,0.2000,0.8500
126,0.1244,0.0250,0.0794,0.0700,0.6250
127,0.2530,0.4750,0.1854,0.2900,0.8750
128,0.3901,0.0250,0.2360,0.2900,0.9250
129,0.4452,0.0250,0.0536,0.0200,0.2000
130,0.0892,0.0250,0.2266,0.1200,0.7750
131,0.3764,0.4750,0.2403,0.2900,0.9750
132,0.2702,0.4750,0.1819,0.2900,0.9500
133,0.2023,0.0250,0.1478,0.0700,0.6250
134,0.1186,0.0250,0.0693,0.2900,0.9000
135,0.3685,0.0250,0.1105,0.1000,0.6500
136,0.3709,0.0250,0.2371,0.1100,0.7000
137,0.0863,0.0250,0.1156,0.2900,0.8250
138,0.0748,0.4750,0.0779,0.2900,0.8500
139,0.2125,0.0250,0.1865,0.2000,0.8250
140,0.2927,0.4750,0.1242,0.2900,0.9250
141,0.3584,0.0250,0.2229,0.2900,0.9000
142,0.1458,0.0250,0.0884,0.0700,0.6000
143,0.3215,0.4750,0.1520,0.2900,0.9250
144,0.1206,0.0250,0.1651,0.2900,0.8750
145,0.1314,0.0250,0.2460,0.0600,0.6250
146,0.3602,0.0250,0.0647,0.2900,0.9000
147,0.2857,0.0250,0.1501,0.2900,0.9000
148,0.3849,0.0250,0.1220,0.0400,0.4750
149,0.1429,0.0250,0.2269,0.2500,0.7750
150,0.1343,0.0250,0.2386,0.1300,0.7750
151,0.2147,0.4750,0.0687,0.2900,0.9250
152,0.4210,0.0250,0.1595,0.1100,0.8000
153,0.3655,0.0250,0.1143,0.2900,0.9500
154,0.1085,0.0250,0.2418,0.2900,0.7750
155,0.1792,0.0250,0.1524,0.2900,0.8750
156,0.1887,0.4750,0.0555,0.2900,0.9750
157,0.3431,0.0250,0.0798,0.0600,0.5500
158,0.1213,0.4750,0.0717,0.2900,0.9250
159,0.0901,0.0250,0.1813,0.2900,0.8750
160,0.3732,0.0250,0.1464,0.2000,0.8750
161,0.4311,0.4750,0.1240,0.2900,0.9750
162,0.1319,0.4750,0.0644,0.2900,0.9000
163,0.3822,0.0250,0.1091,0.1300,0.7750
164,0.1660,0.0250,0.0512,0.0400,0.4500
165,0.3450,0.4750,0.0867,0.2900,0.8500
166,0.3095,0.4750,0.1595,0.2900,0.9250
167,0.3789,0.0250,0.2108,0.2900,0.7500
168,0.2495,0.0250,0.2319,0.2900,0.8750
169,0.1025,0.0250,0.0901,0.0900,0.6750
170,0.4315,0.0250,0.0689,0.0600,0.5500
171,0.3064,0.0250,0.0611,0.0500,0.5250
172,0.4487,0.4750,0.0625,0.2900,0.9500
173,0.1067,0.4750,0.1914,0.2900,0.8750
174,0.3938,0.4750,0.2330,0.2900,0.9750
175,0.3743,0.0250,0.2458,0.0800,0.6500
176,0.4169,0.4750,0.1366,0.2900,0.7500
177,0.1315,0.0250,0.1804,0.2900,0.8750
178,0.1617,0.0250,0.0767,0.2900,0.8250
179,0.0656,0.0250,0.1458,0.1200,0.7250
180,0.3587,0.0250,0.2086,0.2900,0.8750
181,0.0995,0.0250,0.0515,0.1100,0.7250
182,0.1738,0.4750,0.2076,0.2900,0.9250
183,0.2321,0.0250,0.1918,0.1700,0.7750
184,0.0905,0.4750,0.1221,0.2900,0.9000
185,0.3052,0.0250,0.1666,0.2900,0.8750
186,0.0668,0.0250,0.1459,0.2500,0.9000
187,0.2343,0.4750,0.2109,0.2900,0.9000
188,0.0532,0.0250,0.1497,0.1100,0.7750
189,0.0712,0.0250,0.2349,0.2900,0.8000
190,0.0691,0.0250,0.1549,0.0400,0.4250
191,0.3640,0.4750,0.1426,0.2900,0.8500
192,0.0818,0.0250,0.2344,0.2500,0.7750
193,0.4403,0.4750,0.2215,0.2900,0.9000
194,0.1487,0.4750,0.1873,0.2900,0.9250
195,0.3807,0.0250,0.0828,0.0400,0.4250
196,0.3206,0.4750,0.1190,0.2900,0.9000
197,0.1639,0.0250,0.1037,0.0400,0.5500
198,0.2905,0.4750,0.2368,0.2900,0.9500
199,0.3150,0.4750,0.2143,0.2900,0.9750
